last_changed,binary_sensor.bayesianbinary,binary_sensor.bedroom_motion_sensor,binary_sensor.blink_armed_status,binary_sensor.blink_blink_camera_percy_motion_enabled,binary_sensor.hall_motion_sensor,binary_sensor.in_bed_bayesian,binary_sensor.living_room_motion_sensor,binary_sensor.living_room_nest_protect_online,binary_sensor.motion_at_home,binary_sensor.workday_sensor
2017-07-21 15:45:55.891483,,,False,,,,,,,
2017-07-22 00:00:15.413835,,,,,,,,,,False
2017-07-22 06:49:28.524865,,,,,,,,,,False
2017-07-22 06:49:30.000041,,,,,,,,True,,
2017-07-22 06:49:31.796713,,,,False,,,,,,
2017-07-22 06:49:32.235518,,,False,,,,,,,
2017-07-22 06:58:00.997944,,,,,,,,,,False
2017-07-22 06:58:02.683677,,,,,,,,True,,
2017-07-22 06:58:05.061343,,,,False,,,,,,
2017-07-22 06:58:05.907149,,,False,,,,,,,
2017-07-22 07:00:47.865037,,,,,,,,,,False
2017-07-22 07:00:50.054479,,,,,,,,True,,
2017-07-22 07:00:51.991642,,,,False,,,,,,
2017-07-22 07:00:52.409557,,,False,,,,,,,
2017-07-22 12:56:14.819162,,,,,,,,,,False
2017-07-22 12:56:16.436369,,,,,,,,True,,
2017-07-22 12:56:19.604150,,,,False,,,,,,
2017-07-22 12:56:20.545509,,,False,,,,,,,
2017-07-22 12:59:36.870280,,,,,,,,,,False
2017-07-22 12:59:38.773888,,,,,,,,True,,
2017-07-22 12:59:41.602961,,,,False,,,,,,
2017-07-22 12:59:41.856905,,,False,,,,,,,
2017-07-22 13:08:15.074179,,,,,,,,,,False
2017-07-22 13:08:16.045965,,,,,,,,True,,
2017-07-22 13:08:17.363958,,,,False,,,,,,
2017-07-22 13:08:17.694704,,,False,,,,,,,
2017-07-22 13:09:55.779639,,,,,,,,,,False
2017-07-22 13:09:56.967105,,,,,,,,True,,
2017-07-22 13:09:57.700797,,,,False,,,,,,
2017-07-22 13:09:57.954773,,,False,,,,,,,
2017-07-22 13:11:23.095632,,,,,,,,,,False
2017-07-22 13:11:24.306235,,,,,,,,True,,
2017-07-22 13:11:26.486272,,,,False,,,,,,
2017-07-22 13:11:26.572155,,,False,,,,,,,
2017-07-22 13:11:54.188924,,,,,,,,,,False
2017-07-22 13:11:55.262916,,,,,,,,True,,
2017-07-22 13:11:56.238774,,,,False,,,,,,
2017-07-22 13:11:56.466668,,,False,,,,,,,
2017-07-22 13:51:21.252045,,,,,,,,,,False
2017-07-22 13:51:22.462092,,,,,,,,True,,
2017-07-22 13:51:23.109970,,,,False,,,,,,
2017-07-22 13:51:23.516548,,,False,,,,,,,
2017-07-22 13:52:51.250158,,,,,,,,,,False
2017-07-22 13:52:52.298419,,,,,,,,True,,
2017-07-22 13:52:53.073895,,,,False,,,,,,
2017-07-22 13:52:53.242675,,,False,,,,,,,
2017-07-22 13:54:31.698823,,,,,,,,,,False
2017-07-22 13:54:32.725144,,,,,,,,True,,
2017-07-22 13:54:33.795773,,,,False,,,,,,
2017-07-22 13:54:34.285301,,,False,,,,,,,
2017-07-22 14:03:26.414718,,,,,,,,,,False
2017-07-22 14:03:27.682952,,,,,,,,True,,
2017-07-22 14:03:28.573928,,,,False,,,,,,
2017-07-22 14:03:29.069098,,,False,,,,,,,
2017-07-22 14:05:07.190301,,,,,,,,,,False
2017-07-22 14:05:13.296061,,,,,,,,True,,
2017-07-22 14:05:14.086230,,,,False,,,,,,
2017-07-22 14:05:14.330077,,,False,,,,,,,
2017-07-22 14:09:31.176939,,,,,,,,,,False
2017-07-22 14:09:32.184649,,,,,,,,True,,
2017-07-22 14:09:33.403282,,,,False,,,,,,
2017-07-22 14:09:33.621435,,,False,,,,,,,
2017-07-22 14:10:53.678194,,,,,,,,,,False
2017-07-22 14:10:55.022223,,,,,,,,True,,
2017-07-22 14:10:55.595965,,,,False,,,,,,
2017-07-22 14:10:55.807995,,,False,,,,,,,
2017-07-22 14:22:29.740692,,,,,,,,,,False
2017-07-22 14:22:30.726664,,,,,,,,True,,
2017-07-22 14:22:31.384474,,,,False,,,,,,
2017-07-22 14:22:31.594839,,,False,,,,,,,
2017-07-22 14:32:39.845785,,,,,,,,,,False
2017-07-22 14:32:41.034728,,,,,,,,True,,
2017-07-22 14:32:42.136411,,,,False,,,,,,
2017-07-22 14:32:42.362081,,,False,,,,,,,
2017-07-23 04:54:55.336890,,,,,,,,,,False
2017-07-23 04:54:56.385223,,,,,,,,True,,
2017-07-23 04:54:57.628663,,,,False,,,,,,
2017-07-23 04:54:57.768774,,,False,,,,,,,
2017-07-23 05:20:41.759337,,,,,,,,,,False
2017-07-23 05:20:42.945484,,,,,,,,True,,
2017-07-23 05:20:43.471968,,,,False,,,,,,
2017-07-23 05:20:44.023596,,,False,,,,,,,
2017-07-23 05:35:03.740955,,,,,,,,,,False
2017-07-23 05:35:04.948311,,,,,,,,True,,
2017-07-23 05:35:05.478990,,,,False,,,,,,
2017-07-23 05:35:05.951744,,,False,,,,,,,
2017-07-23 05:49:00.454739,,,,,,,,,,False
2017-07-23 05:49:01.582746,,,,,,,,True,,
2017-07-23 05:49:02.687917,,,False,,,,,,,
2017-07-23 05:49:02.835060,,,,False,,,,,,
2017-07-23 05:50:35.796432,,,,,,,,,,False
2017-07-23 05:50:36.602653,,,,,,,,True,,
2017-07-23 05:50:38.028102,,,,False,,,,,,
2017-07-23 05:50:38.568763,,,False,,,,,,,
2017-07-23 05:51:54.513627,,,,,,,,,,False
2017-07-23 05:51:55.437873,,,,,,,,True,,
2017-07-23 05:51:56.459694,,,,False,,,,,,
2017-07-23 05:51:56.671803,,,False,,,,,,,
2017-07-23 05:54:43.352554,,,,,,,,,,False
2017-07-23 05:54:44.447254,,,,,,,,True,,
2017-07-23 05:54:45.578947,,,,False,,,,,,
2017-07-23 05:54:46.140566,,,False,,,,,,,
2017-07-23 06:04:17.445485,,,,,,,,,,False
2017-07-23 06:04:18.523013,,,,,,,,True,,
2017-07-23 06:04:18.966551,,,,False,,,,,,
2017-07-23 06:04:19.465809,,,False,,,,,,,
2017-07-23 06:10:38.835560,,,,,,,,,,False
2017-07-23 06:10:39.882262,,,,,,,,True,,
2017-07-23 06:10:40.974353,,,,False,,,,,,
2017-07-23 06:10:41.160801,,,False,,,,,,,
2017-07-23 06:13:07.584717,,,,,,,,,,False
2017-07-23 06:13:08.770206,,,,,,,,True,,
2017-07-23 06:13:09.362626,,,,False,,,,,,
2017-07-23 06:13:09.557170,,,False,,,,,,,
2017-07-23 06:14:41.142575,,,,,,,,,,False
2017-07-23 06:14:42.271313,,,,,,,,True,,
2017-07-23 06:14:43.216555,,,,False,,,,,,
2017-07-23 06:14:43.222724,,,False,,,,,,,
2017-07-23 06:17:09.853960,,,,,,,,,,False
2017-07-23 06:17:11.195402,,,,,,,,True,,
2017-07-23 06:17:12.029117,,,,False,,,,,,
2017-07-23 06:17:12.535688,,,False,,,,,,,
2017-07-23 06:24:38.154390,,,,,False,,,,,
2017-07-23 06:24:38.452212,,False,,,,,,,,
2017-07-23 06:24:38.454443,,,,,,,False,,,
2017-07-23 06:24:38.740128,,,,,,,,,,False
2017-07-23 06:24:39.697124,,,,,,,,True,,
2017-07-23 06:24:40.857987,,,,False,,,,,,
2017-07-23 06:24:41.342276,,,False,,,,,,,
2017-07-23 06:26:08.492746,,,,,,,True,,,
2017-07-23 06:26:26.496414,,,,,,,False,,,
2017-07-23 06:27:37.255509,,,,,False,,,,,
2017-07-23 06:27:37.257044,,False,,,,,,,,
2017-07-23 06:27:37.258938,,,,,,,False,,,
2017-07-23 06:27:37.560220,,,,,,,,,,False
2017-07-23 06:27:38.619196,,,,,,,,True,,
2017-07-23 06:27:39.727074,,,,False,,,,,,
2017-07-23 06:27:39.977529,,,False,,,,,,,
2017-07-23 06:28:36.792571,,,,,False,,,,,
2017-07-23 06:28:36.795092,,,,,,,False,,,
2017-07-23 06:28:36.797224,,False,,,,,,,,
2017-07-23 06:28:37.140808,,,,,,,,,,False
2017-07-23 06:28:38.413314,,,,,,,,True,,
2017-07-23 06:28:38.742390,,,,False,,,,,,
2017-07-23 06:28:39.216615,,,False,,,,,,,
2017-07-23 06:28:59.330572,,,,,,,True,,,
2017-07-23 06:29:21.315993,,,,,,,False,,,
2017-07-23 06:29:26.314940,,,,,,,True,,,
2017-07-23 06:29:48.330628,,,,,,,False,,,
2017-07-23 06:30:39.939355,,,,,,,False,,,
2017-07-23 06:30:39.944878,,False,,,,,,,,
2017-07-23 06:30:39.950298,,,,,False,,,,,
2017-07-23 06:30:40.523316,,,,,,,,,,False
2017-07-23 06:30:41.582153,,,,,,,,True,,
2017-07-23 06:30:42.610233,,,,False,,,,,,
2017-07-23 06:30:42.786954,,,False,,,,,,,
2017-07-23 06:31:04.867529,,,,,,,True,,,
2017-07-23 06:31:22.883195,,,,,,,False,,,
2017-07-23 06:33:01.939979,,,,,,,False,,,
2017-07-23 06:33:01.966672,,False,,,,,,,,
2017-07-23 06:33:02.033642,,,,,False,,,,,
2017-07-23 06:33:02.644048,,,,,,,,,,False
2017-07-23 06:33:03.825581,,,,,,,,True,,
2017-07-23 06:33:04.509839,,,False,,,,,,,
2017-07-23 06:33:04.598732,,,,False,,,,,,
2017-07-23 06:34:54.691242,,,,,,,True,,,
2017-07-23 06:35:04.950110,,,,,,,False,,,
2017-07-23 06:35:05.049724,,False,,,,,,,,
2017-07-23 06:35:05.116754,,,,,False,,,,,
2017-07-23 06:35:05.628117,,,,,,,,,,False
2017-07-23 06:35:06.817170,,,,,,,,True,,
2017-07-23 06:35:07.633266,,,,False,,,,,,
2017-07-23 06:35:07.868515,,,False,,,,,,,
2017-07-23 06:35:07.975617,,,,,,,True,,,
2017-07-23 06:35:16.944941,,,,,,,False,,,
2017-07-23 06:36:50.960166,,,,,,,True,,,
2017-07-23 06:37:01.966853,,,,,,,False,,,
2017-07-23 06:37:46.615510,,,,,,,False,,,
2017-07-23 06:37:46.643252,,,,,False,,,,,
2017-07-23 06:37:46.651979,,False,,,,,,,,
2017-07-23 06:37:47.253370,,,,,,,,,,False
2017-07-23 06:37:48.401344,,,,,,,,True,,
2017-07-23 06:37:49.147831,,,,False,,,,,,
2017-07-23 06:37:49.158930,,,False,,,,,,,
2017-07-23 06:38:29.248871,,,,,,,True,,,
2017-07-23 06:38:44.246806,,,,,,,False,,,
2017-07-23 06:40:22.260546,,,,,,,True,,,
2017-07-23 06:40:36.954133,,,,,,,False,,,
2017-07-23 06:40:37.195469,,False,,,,,,,,
